Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %;employer_id
234;-1;Кубаньторгбанк;478;Краснодарский край;5 584 495,00;5 621 816,00;-37 321,00;-0,66;
235;6;Стройлесбанк;2995;Тюменская обл.;5 580 521,00;5 107 532,00;472 989,00;9,26;
236;-2;Зенит Сочи;232;Краснодарский край;5 497 204,00;5 419 737,00;77 467,00;1,43;
237;-7;Русь;704;Оренбургская обл.;5 470 836,00;5 777 239,00;-306 403,00;-5,3;
238;-9;Проминвестбанк;2433;Москва и обл.;5 426 988,00;5 840 250,00;-413 262,00;-7,08;
239;1;Роял Кредит Банк;783;Приморский край;5 381 572,00;5 210 201,00;171 371,00;3,29;
240;21;Бест Эффортс Банк;435;Москва и обл.;5 258 056,00;3 988 361,00;1 269 695,00;31,84;
241;17;Банк «Фридом Финанс»;1143;Москва и обл.;5 142 962,00;4 076 140,00;1 066 822,00;26,17;
242;-4;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;5 106 249,00;5 267 380,00;-161 131,00;-3,06;
243;-4;СИАБ;3245;Санкт-Петербург и обл.;5 043 984,00;5 256 136,00;-212 152,00;-4,04;
244;7;Долинск;857;Сахалинская обл.;4 963 231,00;4 320 634,00;642 597,00;14,87;
245;-3;Заубер Банк;1614;Санкт-Петербург и обл.;4 875 536,00;4 927 448,00;-51 912,00;-1,05;
246;-1;НОКССбанк;3202;Волгоградская обл.;4 841 260,00;4 555 025,00;286 235,00;6,28;
247;1;Крокус-Банк;2682;Москва и обл.;4 797 645,00;4 375 669,00;421 976,00;9,64;
248;-2;Севастопольский Морской Банк;3528;Севастополь;4 509 491,00;4 543 786,00;-34 295,00;-0,75;
249;64;ВРБ;3499;Москва и обл.;4 473 552,00;2 304 035,00;2 169 517,00;94,16;
