employer_group;employer_name;employer_id2;employer_type;employer_id
Форс;ФОРС 13;https://voronezh.hh.ru/employer/2417;IT;2417
ICL-KPO BC;GDC (ICL Services) 169;https://voronezh.hh.ru/employer/156424;IT;156424
ICL-KPO BC;ICL-КПО ВС, ООО 20;https://voronezh.hh.ru/employer/32570;IT;32570
X-Com;X-Com 16;https://voronezh.hh.ru/employer/137432;IT;137432
Сател;САТЕЛ, Группа компаний, ООО 23;https://voronezh.hh.ru/employer/760;IT;760
Атол;АТОЛ, группа компаний, ООО 18;https://voronezh.hh.ru/employer/3343;IT;3343
Информзащита****;ИНФОРМЗАЩИТА 40;https://voronezh.hh.ru/employer/3415;IT;3415
Компарекс;COMPAREX 10;https://voronezh.hh.ru/employer/166140;IT;166140
АМТ-груп;АМТ-ГРУП, ООО 4;https://voronezh.hh.ru/employer/9081;IT;9081
ОТР (2);ОТР, ООО 283;https://voronezh.hh.ru/employer/11749;IT;11749
Аплана;Аплана Софтвер, ООО 13;https://voronezh.hh.ru/employer/2631;IT;2631
Аплана;ГК Аплана 23;https://voronezh.hh.ru/employer/2322;IT;2322
Эвотор;;2425896;IT;2425896
Инлайн Груп;ИНЛАЙН ГРУП, ООО 5;https://voronezh.hh.ru/employer/671016;IT;671016
Системный софт;Системный софт, ООО 14;https://voronezh.hh.ru/employer/724229;IT;724229
Борлас;Борлас, Консалтинговая группа, ООО 16;https://voronezh.hh.ru/employer/222045;IT;222045
Галактика;Галактика, ООО 21;https://voronezh.hh.ru/employer/644;IT;644
Itransition;;;IT;
Рамэк-ВС;РАМЭК - ВС, ООО 13;https://voronezh.hh.ru/employer/23494;IT;23494
НАГ;НАГ, ООО 36;https://voronezh.hh.ru/employer/54732;IT;54732
TerraLink;TerraLink, ООО 20;https://voronezh.hh.ru/employer/865;IT;865
ДиСиЛоджик;ДиСиЛоджик, ООО 1;https://voronezh.hh.ru/employer/2477476;IT;2477476
CTI;CTI 18;https://voronezh.hh.ru/employer/2651877;IT;2651877
SMART technologies;;;IT;
Корус Консалтинг;КОРУС Консалтинг 56;https://voronezh.hh.ru/employer/675;IT;675
Корус Консалтинг СНГ*****;КОРУС Консалтинг СНГ 65;https://voronezh.hh.ru/employer/946607;IT;946607
Программный Продукт*****;Программный Продукт, ИТ-компания 47;https://voronezh.hh.ru/employer/2393;IT;2393
Синто*****;Синто, ООО 10;https://voronezh.hh.ru/employer/1949248;IT;1949248
Инфотекс***;ИнфоТеКС, ОАО 60;https://voronezh.hh.ru/employer/3778;IT;3778
Инфотекс***;Инфотекс Интернет Траст, ООО 15;https://voronezh.hh.ru/employer/5672;IT;5672
Philax;;;IT;
НПЦ Элвис;НПЦ «ЭЛВИС», АО 35;https://voronezh.hh.ru/employer/206972;IT;206972
GlowByte Consulting*****;GlowByte Consulting, ООО 25;https://voronezh.hh.ru/employer/64474;IT;64474
РДТеХ;РДТЕХ, ООО 6;https://voronezh.hh.ru/employer/2258;IT;2258
iCore;iCore (Integration Core) 13;https://voronezh.hh.ru/employer/618956;IT;618956
Рамакс Груп;Рамакс Интернейшнл, АО 22;https://voronezh.hh.ru/employer/142514;IT;142514
Safelogic;;;IT;
Барс Груп;БАРС Груп, ООО 110;https://voronezh.hh.ru/employer/72977;IT;72977
