employer_name;employer_id2;employer_type;employer_id;Позиция в рейтинге;Изменение позиции в рейтинге;Номер лицензии;Регион регистрации;Январь, 2020, тыс. рублей;Декабрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
Международный Финансовый Клуб;49316;bank;;101;-3;2618;Москва и обл.;46 842 838,00;48 500 542,00;-1 657 704,00;-3,42
БМВ Банк;;bank;;102;0;3482;Москва и обл.;45 712 230,00;46 370 480,00;-658 250,00;-1,42
Мир Бизнес Банк;;bank;;103;1;3396;Москва и обл.;45 211 592,00;44 155 428,00;1 056 164,00;2,39
Креди Агриколь КИБ;;bank;;104;-10;1680;Санкт-Петербург и обл.;45 196 531,00;52 595 345,00;-7 398 814,00;-14,07
Солидарность;64389;bank;;105;1;554;Самарская обл.;44 380 745,00;43 557 065,00;823 680,00;1,89
Бэнк оф Чайна;;bank;;106;5;2309;Москва и обл.;43 046 903,00;40 634 473,00;2 412 430,00;5,94
БНП Париба Банк;;bank;;107;0;3407;Москва и обл.;42 715 509,00;43 101 408,00;-385 899,00;-0,9
Объединенный Капитал;;bank;;108;0;2611;Санкт-Петербург и обл.;42 005 276,00;41 678 133,00;327 143,00;0,78
Кольцо Урала;;bank;;109;0;65;Свердловская обл.;40 308 880,00;41 348 498,00;-1 039 618,00;-2,51
БыстроБанк;;bank;;110;2;1745;Удмуртия;39 750 537,00;39 625 024,00;125 513,00;0,32
Дальневосточный Банк;;bank;;111;3;843;Приморский край;38 858 773,00;37 831 835,00;1 026 938,00;2,71
Дж. П. Морган Банк;;bank;;112;-2;2629;Москва и обл.;36 878 973,00;41 116 183,00;-4 237 210,00;-10,31
Интерпрогрессбанк;;bank;;113;0;600;Москва и обл.;36 818 402,00;37 958 520,00;-1 140 118,00;-3
Приморье;;bank;;114;1;3001;Приморский край;35 809 450,00;35 310 168,00;499 282,00;1,41
Держава;;bank;;115;2;2738;Москва и обл.;35 211 010,00;34 415 616,00;795 394,00;2,31
Кредит Урал Банк;;bank;;116;0;2584;Челябинская обл.;34 417 757,00;34 540 973,00;-123 216,00;-0,36
Плюс Банк;;bank;;117;1;1189;Москва и обл.;34 216 691,00;33 048 876,00;1 167 815,00;3,53
Петербургский Социальный Коммерческий Банк;;bank;;118;5;2551;Санкт-Петербург и обл.;32 896 783,00;27 851 717,00;5 045 066,00;18,11
НС Банк;;bank;;119;1;3124;Москва и обл.;32 751 728,00;31 014 816,00;1 736 912,00;5,6
Алмазэргиэнбанк;;bank;;120;1;2602;Саха (Якутия);32 736 363,00;30 724 079,00;2 012 284,00;6,55
Национальный Стандарт;;bank;;121;-2;3421;Москва и обл.;32 282 369,00;31 458 762,00;823 607,00;2,62
ЦМРБанк;;bank;;122;14;3531;Москва и обл.;30 120 617,00;23 666 376,00;6 454 241,00;27,27
МС Банк Рус;;bank;;123;-1;2789;Москва и обл.;29 914 352,00;30 083 927,00;-169 575,00;-0,56
Натиксис Банк;;bank;;124;0;3390;Москва и обл.;29 522 019,00;27 292 593,00;2 229 426,00;8,17
Чайна Констракшн;;bank;;125;13;3515;Москва и обл.;28 222 479,00;22 148 876,00;6 073 603,00;27,42
Голдман Сакс Банк;;bank;;126;9;3490;Москва и обл.;28 034 183,00;23 844 798,00;4 189 385,00;17,57
Мерседес-Бенц Банк Рус;;bank;;127;1;3473;Москва и обл.;27 632 139,00;25 671 000,00;1 961 139,00;7,64
Урал ФД;;bank;;128;-2;249;Пермская обл.;27 430 543,00;25 985 520,00;1 445 023,00;5,56
Интерпромбанк;;bank;;129;0;3266;Москва и обл.;27 340 522,00;25 530 149,00;1 810 373,00;7,09
Курскпромбанк;;bank;;130;-5;735;Курская обл.;27 321 001,00;26 684 402,00;636 599,00;2,39
Акибанк;;bank;;131;-4;2587;Татарстан;25 785 362,00;25 746 287,00;39 075,00;0,15
Экономбанк;;bank;;132;-2;1319;Саратовская обл.;25 773 970,00;25 194 505,00;579 465,00;2,3
Хлынов;;bank;;133;-2;254;Кировская обл.;25 612 584,00;25 184 171,00;428 413,00;1,7
Энергобанк;;bank;;134;0;67;Татарстан;24 144 422,00;23 974 681,00;169 741,00;0,71
Ланта-Банк;;bank;;135;-2;1920;Москва и обл.;23 927 746,00;24 608 623,00;-680 877,00;-2,77
Тольяттихимбанк;;bank;;136;10;2507;Самарская обл.;23 832 493,00;19 519 884,00;4 312 609,00;22,09
Москоммерцбанк;;bank;;137;0;3365;Москва и обл.;23 033 098,00;22 926 790,00;106 308,00;0,46
Модульбанк;;bank;;138;4;1927;Костромская обл.;22 564 981,00;20 483 714,00;2 081 267,00;10,16
Акцепт;;bank;;139;2;567;Новосибирская обл.;22 502 424,00;21 021 278,00;1 481 146,00;7,05
Джей энд Ти Банк;;bank;;140;-1;3061;Москва и обл.;22 154 695,00;21 549 440,00;605 255,00;2,81
НБД-Банк;;bank;;141;-1;1966;Нижегородская обл.;22 084 391,00;21 110 910,00;973 481,00;4,61
Московское Ипотечное Агентство;;bank;;142;10;3344;Москва и обл.;21 554 113,00;18 046 277,00;3 507 836,00;19,44
Банк Кредит Свисс;;bank;;143;-67;2494;Москва и обл.;21 189 422,00;74 883 734,00;-53 694 312,00;-71,7
Татсоцбанк;;bank;;144;-1;480;Татарстан;20 951 006,00;20 328 897,00;622 109,00;3,06
Ури Банк;;bank;;145;-1;3479;Москва и обл.;20 715 342,00;20 262 281,00;453 061,00;2,24
Инбанк;;bank;;146;4;1829;Москва и обл.;20 364 204,00;18 616 169,00;1 748 035,00;9,39
Пойдем!;;bank;;147;-2;2534;Москва и обл.;20 218 239,00;20 228 154,00;-9 915,00;-0,05
Кошелев-Банк;;bank;;148;-16;3300;Самарская обл.;19 768 650,00;24 817 452,00;-5 048 802,00;-20,34
Росдорбанк;;bank;;149;2;1573;Москва и обл.;19 739 697,00;18 354 683,00;1 385 014,00;7,55
Агропромкредит;;bank;;150;-2;2880;Москва и обл.;19 659 100,00;19 176 841,00;482 259,00;2,51
КЭБ ЭйчЭнБи Банк;;bank;;151;13;3525;Москва и обл.;19 452 565,00;14 937 263,00;4 515 302,00;30,23
Александровский;;bank;;152;-3;53;Санкт-Петербург и обл.;19 393 557,00;18 726 989,00;666 568,00;3,56
Денизбанк Москва;;bank;;153;-6;3330;Москва и обл.;18 694 406,00;19 402 441,00;-708 035,00;-3,65
Прио-Внешторгбанк;;bank;;154;-1;212;Рязанская обл.;17 848 491,00;17 792 389,00;56 102,00;0,32
Алеф-Банк;;bank;;155;-1;2119;Москва и обл.;17 409 770,00;17 307 034,00;102 736,00;0,59
Ишбанк;;bank;;156;-1;2867;Москва и обл.;17 283 841,00;17 097 639,00;186 202,00;1,09
РЕСО Кредит;;bank;;157;10;3450;Москва и обл.;16 808 269,00;14 369 846,00;2 438 423,00;16,97
Морской Банк;;bank;;158;-2;77;Москва и обл.;16 786 135,00;16 530 138,00;255 997,00;1,55
Эс-Би-Ай Банк;;bank;;159;17;3185;Москва и обл.;16 546 845,00;12 931 173,00;3 615 672,00;27,96
Норвик Банк;;bank;;160;-1;902;Кировская обл.;16 218 534,00;16 116 503,00;102 031,00;0,63
Банк Сберегательно-Кредитного Сервиса;;bank;;161;-3;3224;Москва и обл.;16 130 500,00;16 177 031,00;-46 531,00;-0,29
Форштадт;;bank;;162;-5;2208;Оренбургская обл.;16 029 000,00;16 273 390,00;-244 390,00;-1,5
Развитие-Столица;;bank;;163;-3;3013;Москва и обл.;15 937 556,00;16 065 702,00;-128 146,00;-0,8
НК Банк;;bank;;164;-1;2755;Москва и обл.;14 953 685,00;15 302 566,00;-348 881,00;-2,28
Финанс Бизнес Банк;;bank;;165;0;520;Москва и обл.;14 598 936,00;14 561 114,00;37 822,00;0,26
Чайнасельхозбанк;;bank;;166;0;3529;Москва и обл.;14 072 946,00;14 395 208,00;-322 262,00;-2,24
Гарант-Инвест;;bank;;167;2;2576;Москва и обл.;13 884 652,00;13 678 866,00;205 786,00;1,5
Банк Казани;;bank;;168;0;708;Татарстан;13 881 443,00;14 112 499,00;-231 056,00;-1,64
Оренбург;;bank;;169;10;3269;Оренбургская обл.;13 714 830,00;12 547 901,00;1 166 929,00;9,3
КС Банк;;bank;;170;2;1752;Мордовия;13 340 926,00;13 128 959,00;211 967,00;1,61
БайкалИнвестБанк;;bank;;171;2;1067;Москва и обл.;13 161 506,00;13 083 658,00;77 848,00;0,6
Руснарбанк;;bank;;172;-1;3403;Москва и обл.;13 130 908,00;13 228 137,00;-97 229,00;-0,74
НИКО-Банк;;bank;;173;5;702;Оренбургская обл.;12 977 982,00;12 755 432,00;222 550,00;1,74
Промтрансбанк;;bank;;174;3;2638;Башкортостан;12 874 734,00;12 871 759,00;2 975,00;0,02
Датабанк;;bank;;175;7;646;Удмуртия;12 842 503,00;12 228 118,00;614 385,00;5,02
