employer_group;employer_name;employer_type;employer_id
Акибанк;Акибанк;bank;
Экономбанк;Экономбанк;bank;
Хлынов;Хлынов;bank;
Энергобанк;Энергобанк;bank;
Ланта-Банк;Ланта-Банк;bank;
Тольяттихимбанк;Тольяттихимбанк;bank;
Москоммерцбанк;Москоммерцбанк;bank;
Модульбанк;Модульбанк;bank;
Акцепт;Акцепт;bank;
Джей энд Ти Банк;Джей энд Ти Банк;bank;
НБД-Банк;НБД-Банк;bank;
Московское Ипотечное Агентство;Московское Ипотечное Агентство;bank;
Банк Кредит Свисс;Банк Кредит Свисс;bank;
Татсоцбанк;Татсоцбанк;bank;
Ури Банк;Ури Банк;bank;
Инбанк;Инбанк;bank;
Пойдем!;Пойдем!;bank;
Кошелев-Банк;Кошелев-Банк;bank;
Росдорбанк;Росдорбанк;bank;
Агропромкредит;Агропромкредит;bank;
КЭБ ЭйчЭнБи Банк;КЭБ ЭйчЭнБи Банк;bank;
Александровский;Александровский;bank;
Денизбанк Москва;Денизбанк Москва;bank;
Прио-Внешторгбанк;Прио-Внешторгбанк;bank;
Алеф-Банк;Алеф-Банк;bank;
Ишбанк;Ишбанк;bank;
РЕСО Кредит;РЕСО Кредит;bank;
Морской Банк;Морской Банк;bank;
Эс-Би-Ай Банк;Эс-Би-Ай Банк;bank;
Норвик Банк;Норвик Банк;bank;
Банк Сберегательно-Кредитного Сервиса;Банк Сберегательно-Кредитного Сервиса;bank;
Форштадт;Форштадт;bank;
Развитие-Столица;Развитие-Столица;bank;
НК Банк;НК Банк;bank;
Финанс Бизнес Банк;Финанс Бизнес Банк;bank;
Чайнасельхозбанк;Чайнасельхозбанк;bank;
Гарант-Инвест;Гарант-Инвест;bank;
Банк Казани;Банк Казани;bank;
Оренбург;Оренбург;bank;
КС Банк;КС Банк;bank;
БайкалИнвестБанк;БайкалИнвестБанк;bank;
Руснарбанк;Руснарбанк;bank;
НИКО-Банк;НИКО-Банк;bank;
Промтрансбанк;Промтрансбанк;bank;
Датабанк;Датабанк;bank;
Национальный Резервный Банк;Национальный Резервный Банк;bank;
Яндекс.Деньги;Яндекс.Деньги;bank;
Национальная Факторинговая Компания;Национальная Факторинговая Компания;bank;
Нижневолжский Коммерческий Банк;Нижневолжский Коммерческий Банк;bank;
Собинбанк;Собинбанк;bank;
ТЭМБР-Банк;ТЭМБР-Банк;bank;
Консервативный Коммерческий Банк;Консервативный Коммерческий Банк;bank;
Юг-Инвестбанк;Юг-Инвестбанк;bank;
Снежинский;Снежинский;bank;
Нацинвестпромбанк;Нацинвестпромбанк;bank;
Инкахран;Инкахран;bank;
Актив Банк;Актив Банк;bank;
Энергомашбанк;Энергомашбанк;bank;
Екатеринбург;Екатеринбург;bank;
Банк Раунд;Банк Раунд;bank;
Итуруп;Итуруп;bank;
Банк Жилищного Финансирования;Банк Жилищного Финансирования;bank;
Русьуниверсалбанк;Русьуниверсалбанк;bank;
Банк БКФ;Банк БКФ;bank;
Солид Банк;Солид Банк;bank;
МБА-Москва;МБА-Москва;bank;
Углеметбанк;Углеметбанк;bank;
Автоторгбанк;Автоторгбанк;bank;
Томскпромстройбанк;Томскпромстройбанк;bank;
Зираат Банк;Зираат Банк;bank;
Хакасский Муниципальный Банк;Хакасский Муниципальный Банк;bank;
Ставропольпромстройбанк;Ставропольпромстройбанк;bank;
Нейва;Нейва;bank;
Белгородсоцбанк;Белгородсоцбанк;bank;
Кузнецкбизнесбанк;Кузнецкбизнесбанк;bank;
Трансстройбанк;Трансстройбанк;bank;
Северный Народный Банк;Северный Народный Банк;bank;
Сибсоцбанк;Сибсоцбанк;bank;
Сити Инвест Банк;Сити Инвест Банк;bank;
Новобанк;Новобанк;bank;
Морган Стэнли Банк;Морган Стэнли Банк;bank;
Нефтепромбанк;Нефтепромбанк;bank;
Гута-Банк;Гута-Банк;bank;
Финам Банк;Финам Банк;bank;
Горбанк;Горбанк;bank;
Славия;Славия;bank;
Агророс;Агророс;bank;
Ростфинанс;Ростфинанс;bank;
Банк Оранжевый;Банк Оранжевый;bank;
Кузнецкий;Кузнецкий;bank;
Енисейский Объединенный Банк;Енисейский Объединенный Банк;bank;
Черноморский банк развития и реконструкции;Черноморский банк развития и реконструкции;bank;
Азия-Инвест Банк;Азия-Инвест Банк;bank;
Автоградбанк;Автоградбанк;bank;
ФорБанк;ФорБанк;bank;
Земский Банк;Земский Банк;bank;
Венец;Венец;bank;
Газтрансбанк;Газтрансбанк;bank;
Альба Альянс;Альба Альянс;bank;
Москва-Сити;Москва-Сити;bank;
Ю Би Эс Банк;Ю Би Эс Банк;bank;
Платина;Платина;bank;
Индустриальный Сберегательный Банк;Индустриальный Сберегательный Банк;bank;
Кубаньторгбанк;Кубаньторгбанк;bank;
Стройлесбанк;Стройлесбанк;bank;
Зенит Сочи;Зенит Сочи;bank;
Русь;Русь;bank;
Проминвестбанк;Проминвестбанк;bank;
Роял Кредит Банк;Роял Кредит Банк;bank;
Бест Эффортс Банк;Бест Эффортс Банк;bank;
Банк «Фридом Финанс»;Банк «Фридом Финанс»;bank;
Муниципальный Камчатпрофитбанк;Муниципальный Камчатпрофитбанк;bank;
СИАБ;СИАБ;bank;
Долинск;Долинск;bank;
Заубер Банк;Заубер Банк;bank;
НОКССбанк;НОКССбанк;bank;
Крокус-Банк;Крокус-Банк;bank;
Севастопольский Морской Банк;Севастопольский Морской Банк;bank;
ВРБ;ВРБ;bank;
Мегаполис;Мегаполис;bank;
Московский Коммерческий Банк;Московский Коммерческий Банк;bank;
Веста;Веста;bank;
Братский АНКБ;Братский АНКБ;bank;
Камский Коммерческий Банк;Камский Коммерческий Банк;bank;
Кремлевский;Кремлевский;bank;
Мобильная карта;Мобильная карта;bank;
Донкомбанк;Донкомбанк;bank;
Алтайкапиталбанк;Алтайкапиталбанк;bank;
Икано Банк;Икано Банк;bank;
Славянский Кредит;Славянский Кредит;bank;
Вологжанин;Вологжанин;bank;
Нэклис-Банк;Нэклис-Банк;bank;
ЮМК;ЮМК;bank;
ПэйПал Ру;ПэйПал Ру;bank;
Объединенный Резервный Банк;Объединенный Резервный Банк;bank;
Владбизнесбанк;Владбизнесбанк;bank;
Народный Банк;Народный Банк;bank;
Современные Стандарты Бизнеса;Современные Стандарты Бизнеса;bank;
Далена Банк;Далена Банк;bank;
Санкт-Петербургский Банк Инвестиций;Санкт-Петербургский Банк Инвестиций;bank;
Уралпромбанк;Уралпромбанк;bank;
Элита;Элита;bank;
Банк Реалист;Банк Реалист;bank;
Коммерческий Индо Банк;Коммерческий Индо Банк;bank;
Уралфинанс;Уралфинанс;bank;
Новый Век;Новый Век;bank;
Живаго Банк;Живаго Банк;bank;
Юнистрим;Юнистрим;bank;
Первоуральскбанк;Первоуральскбанк;bank;
Вестерн Юнион ДП Восток;Вестерн Юнион ДП Восток;bank;
Первый Клиентский Банк;Первый Клиентский Банк;bank;
Унифондбанк;Унифондбанк;bank;
Банк ПСА Финанс Рус;Банк ПСА Финанс Рус;bank;
Расчетные Решения;Расчетные Решения;bank;
БСТ-Банк;БСТ-Банк;bank;
Оргбанк;Оргбанк;bank;
Кетовский Коммерческий Банк;Кетовский Коммерческий Банк;bank;
Профессионал Банк;Профессионал Банк;bank;
Тамбовкредитпромбанк;Тамбовкредитпромбанк;bank;
Евразийский Банк;Евразийский Банк;bank;
Московский Нефтехимический Банк;Московский Нефтехимический Банк;bank;
Синко-Банк;Синко-Банк;bank;
Тендер-Банк;Тендер-Банк;bank;
Заречье;Заречье;bank;
ИРС;ИРС;bank;
Внешфинбанк;Внешфинбанк;bank;
Экси-Банк;Экси-Банк;bank;
ИТ Банк;ИТ Банк;bank;
Ермак;Ермак;bank;
