employer_group;employer_name;employer_type;employer_id
Компьютеры и сети;ГК Компьютеры и сети, ООО 11;IT;550596
Айтоника;Айтоника, ООО 1;IT;2607332
Novardis;NOVARDIS 38;IT;60491
Синимекс;Синимекс, ООО 6;IT;6944
Molga Consulting;MOLGA Consulting (МОЛГА Консалтинг), ООО 8;IT;52703
R-Style Softlab;R-Style Softlab (Эр-Стайл Софтлаб) 61;IT;2419
АйТи Энерджи Сервис;АйТи Энерджи Сервис, ООО 2;IT;196970
Linxdatacenter;;IT;
BearingPoint;BearingPoint, ООО 14;IT;3916
ИВС;ИВС, Группа компаний, ООО 1;IT;153817
KPBS;KPBS, ООО 2;IT;668994
Digital Design;Digital Design, ООО 23;IT;4745
Actonic;Actonic 1;IT;3853846
Agiloft;Agiloft 19;IT;1871949
Akvelon ;Akvelon, ООО 110;IT;213004
CorePartners ;CorePartners 8;IT;25087
Craft Games - разработка и продвижение игр для мобильных устройств ;Craft Games - разработка и продвижение игр для мобильных устройств 18;IT;2788545
DataArt ;DataArt, ООО 136;IT;69961
Diasoft ;Diasoft, ООО 73;IT;154
DominiGames ;DominiGames 12;IT;960062
DSR, Группа Компаний ;DSR, Группа Компаний, ООО 18;IT;217737
EGAR TECHNOLOGY, INC. ;EGAR TECHNOLOGY, INC., ООО 29;IT;4917
esteIT ;esteIT, ООО 8;IT;71193
FoodPlex ;FoodPlex 28;IT;1772667
Gaijin Entertainment ;Gaijin Entertainment, ООО 17;IT;1938
GSPD ;GSPD 8;IT;1882496
Mail.Ru Group;Mail.Ru Group 371;IT;15478
Netcracker Technology Corp. ;Netcracker Technology Corp. 121;IT;3945
Noorsoft ;Noorsoft 2;IT;2778644
Playrix ;Playrix 27;IT;114448
TeamIdea (ООО ТИМИДЕЯ ГРУПП) ;TeamIdea (ООО ТИМИДЕЯ ГРУПП), ООО 23;IT;567928
T-Systems RUS ;T-Systems RUS 77;IT;25
АО РТ Лабс ;РТ Лабс, АО 48;IT;894410
Атос АйТи Солюшенс энд Сервисез ;Атос АйТи Солюшенс энд Сервисез, ООО 237;IT;725989
Лига Цифровой Экономики ;Лига Цифровой Экономики 163;IT;2733062
Неофлекс ;Неофлекс, ООО 56;IT;22494
ООО Egamings, филиал г. Псков ;Egamings, филиал г. Псков, ООО 16;IT;2661787
ООО Натчез Трэйс ;Натчез Трэйс, ООО 1;IT;2314866
ООО ОТР ;ОТР, ООО 283;IT;11749
ООО ТекФорс Инжиниринг ;ТекФорс Инжиниринг, ООО 20;IT;934019
ООО Энкри ;Энкри, ООО 2;IT;2815033
Рексофт ;Рексофт, ООО 20;IT;3984
РЕЛЭКС ;РЕЛЭКС, ООО 8;IT;49507
Синимекс ;Синимекс, ООО 6;IT;6944
Яндекс;Яндекс, ООО 2853;IT;1740
Яндекс;Яндекс.Деньги, НКО, ООО 37;IT;655542
Rambler;Rambler Group 36;IT;8620
Сбербанк России;Сбербанк России;bank;3529
ВТБ;ВТБ;bank;4181
